Subject,Start Date,End Date,Start Time,End Time,Description
I213-離散信号処理特論,2021/04/17,2021/04/17,13:50:00,17:20:00,講師: 浅野
I470F-統合アーキテクチャ,2021/04/18,2021/04/18,09:20:00,12:50:00,講師: 田中(清)
K211-社会科学方法論,2021/04/18,2021/04/18,11:10:00,17:20:00,講師: 伊藤
K491-IoTイノベーションデザイン,2021/05/09,2021/05/09,09:20:00,17:20:00,講師: 内平・位野木
K122-医療サービスサイエンス基礎,2021/05/12,2021/05/12,17:30:00,21:55:00,"講師: 
佐藤（信）・池田（満)"
K465-オープンイノベーション論,2021/05/13,2021/05/13,18:30:00,20:10:00,講師: 安永
K211-社会科学方法論,2021/05/16,2021/05/16,11:10:00,17:20:00,講師: 伊藤
K114-実践的社会調査法,2021/05/17,2021/05/17,18:30:00,20:10:00,講師: 佐藤(那)
K114-実践的社会調査法,2021/05/18,2021/05/18,18:30:00,20:10:00,講師: 佐藤(那)
K114-実践的社会調査法,2021/05/19,2021/05/19,18:30:00,20:10:00,講師: 佐藤(那)
K114-実践的社会調査法,2021/05/20,2021/05/20,18:30:00,20:10:00,講師: 佐藤(那)
K114-実践的社会調査法,2021/05/21,2021/05/21,18:30:00,20:10:00,講師: 佐藤(那)
I411-認識処理工学特論,2021/05/22,2021/05/22,09:20:00,12:50:00,講師: 小谷
I485F-知覚情報処理特論,2021/05/22,2021/05/22,09:20:00,12:50:00,講師: 鵜木
K114-実践的社会調査法,2021/05/22,2021/05/22,09:20:00,17:20:00,講師: 佐藤(那)
I213-離散信号処理特論,2021/05/22,2021/05/22,13:50:00,17:20:00,講師: 浅野
I473F-集積回路特論,2021/05/22,2021/05/22,13:50:00,17:20:00,講師: 金子(峰)
I470F-統合アーキテクチャ,2021/05/23,2021/05/23,09:20:00,12:50:00,講師: 田中(清)
K491-IoTイノベーションデザイン,2021/05/23,2021/05/23,09:20:00,17:20:00,講師: 内平
K465-オープンイノベーション論,2021/05/27,2021/05/27,18:30:00,20:10:00,講師: 安永
I411-認識処理工学特論,2021/05/29,2021/05/29,09:20:00,12:50:00,講師: 小谷
I485F-知覚情報処理特論,2021/05/29,2021/05/29,09:20:00,12:50:00,講師: 鵜木
I213-離散信号処理特論,2021/05/29,2021/05/29,13:50:00,17:20:00,講師: 浅野
I473F-集積回路特論,2021/05/29,2021/05/29,13:50:00,17:20:00,講師: 金子(峰)
I470F-統合アーキテクチャ,2021/05/30,2021/05/30,09:20:00,12:50:00,講師: 田中(清)
K422-知的財産マネジメント論,2021/05/30,2021/05/30,09:20:00,17:20:00,講師: 外川
